victim/brittle,polluter/state-setter,potential_cleaner,type_victim_or_brittle
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.issues.issue112.IssueTest.shouldNotFail,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.LoggerFactoryTest.shouldReturnSetLogger,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,com.openpojo.log.JavaLoggerTest.testToString,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.SL4JLoggerTest.shouldTestFatal,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.ensureSupportedLoggersAndOrder,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultCategoryByClass,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByClass,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldTestError,com.openpojo.log.LoggerFactoryTest.shouldReturnDefaultLoggerClassByCategory,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.testToString,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.Log4JLoggerTest.shouldLogInVariousLevels,victim
com.openpojo.validation.test.impl.SetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,com.openpojo.log.JavaLoggerTest.shouldLogInVariousLevels,com.openpojo.log.SL4JLoggerTest.testToString,victim
